Property,Structure,Leased Square Footage,Premises,Monthly Base Rent,Annual Property Taxes,Annual Insurance,Annual CAM Charges,Start Date,End Date,Renewal Option,Renewal Notice Days,Status
"Downtown Austin Center","Triple Net Lease (NNN)",3200,"Suite 250",14400,5120,1280,6400,2022-01-01,2027-12-31,TRUE,180,"Active"
"Highland Park Village","Modified Gross Lease",2850,"Store 140",11970,0,0,4275,2021-03-15,2026-03-14,TRUE,180,"Active"
"The Domain Shopping Center","Triple Net Lease (NNN)",2950,"Unit 320",13275,4720,1180,5900,2022-06-01,2027-05-31,TRUE,180,"Active"
"Cherry Creek North","Modified Gross Lease",1800,"Suite 105",8100,0,0,2700,2020-09-01,2025-08-31,FALSE,120,"Active"
"Buckhead Plaza","Triple Net Lease (NNN)",4200,"Anchor Space A",18900,6720,1680,8400,2021-11-15,2026-11-14,TRUE,180,"Active"
"Coral Gables Town Center","Gross Lease (Full Service Lease)",2200,"Unit 15",9900,0,0,0,2022-02-01,2025-01-31,FALSE,90,"Active"
"La Jolla Village Square","Modified Gross Lease",3100,"Store 220",13950,0,0,4650,2021-08-01,2026-07-31,TRUE,180,"Active"
"Bethesda Row","Triple Net Lease (NNN)",2750,"Suite 180",12375,4400,1100,5500,2022-04-15,2027-04-14,TRUE,180,"Active"
"Scottsdale Fashion Square","Modified Gross Lease",1950,"Unit 45",8775,0,0,2925,2021-01-01,2024-12-31,FALSE,120,"Pending Renewal"
"Greenwich Avenue Shopping","Triple Net Lease (NNN)",3500,"Anchor B",15750,5600,1400,7000,2020-12-01,2025-11-30,TRUE,180,"Active"
"Pacific Heights Market","Gross Lease (Full Service Lease)",2400,"Suite 310",10800,0,0,0,2022-03-01,2025-02-28,FALSE,90,"Active"
"Beacon Hill Commons","Triple Net Lease (NNN)",2650,"Store 125",11925,4240,1060,5300,2021-10-01,2026-09-30,TRUE,180,"Active"
"Shadyside Marketplace","Modified Gross Lease",1650,"Unit 78",7425,0,0,2475,2022-01-15,2024-01-14,FALSE,60,"Expired"
"Short Pump Town Center","Triple Net Lease (NNN)",3300,"Suite 200",14850,5280,1320,6600,2021-07-01,2026-06-30,TRUE,180,"Active"
"Hillcrest Village","Gross Lease (Full Service Lease)",2100,"Store 90",9450,0,0,0,2020-05-01,2025-04-30,TRUE,120,"Active"
"Plaza Midwood Center","Modified Gross Lease",2800,"Unit 160",12600,0,0,4200,2021-12-01,2026-11-30,TRUE,180,"Active"
"Mountain Brook Village","Triple Net Lease (NNN)",3750,"Anchor C",16875,6000,1500,7500,2022-08-01,2027-07-31,TRUE,180,"Active"
"Saratoga Springs Commons","Gross Lease (Full Service Lease)",1750,"Suite 85",7875,0,0,0,2021-09-15,2024-09-14,FALSE,90,"Active"
"Carmel-by-the-Sea Plaza","Modified Gross Lease",2550,"Store 110",11475,0,0,3825,2020-11-01,2025-10-31,TRUE,180,"Active"
"Hamptons Market Center","Triple Net Lease (NNN)",3400,"Unit 240",15300,5440,1360,6800,2022-05-01,2027-04-30,TRUE,180,"Active"
"Bellevue Square District","Gross Lease (Full Service Lease)",1900,"Suite 55",8550,0,0,0,2021-06-01,2024-05-31,FALSE,120,"Active"
"Avalon Alpharetta","Modified Gross Lease",2300,"Store 175",10350,0,0,3450,2020-10-15,2025-10-14,TRUE,180,"Active"
"Legacy West Plano","Triple Net Lease (NNN)",2900,"Unit 135",13050,4640,1160,5800,2021-04-01,2026-03-31,TRUE,180,"Active"
"The Woodlands Town Center","Gross Lease (Full Service Lease)",2050,"Suite 120",9225,0,0,0,2022-07-01,2025-06-30,FALSE,90,"Active"
