Name,Type,Phone,Website,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Description,SicDesc,Sic
"Austin Climate Solutions","Vendor","(512) 555-0150","www.austinclimate.com","2200 Industrial Blvd","Austin","Texas","78702","United States","Commercial HVAC installation, maintenance, and emergency repair services. Specializes in energy-efficient systems for retail environments.","HVAC & Mechanical contractors","1711"
"Lone Star Property Management","Vendor","(512) 555-0175","www.lonestarpm.com","1800 S Lamar Blvd, Suite 300","Austin","Texas","78704","United States","Full-service commercial property management including tenant relations, maintenance coordination, and facility operations.","Property Management","6531"
"Dallas Premier HVAC","Vendor","(214) 555-0180","www.dallaspremier.com","4500 Commerce Street","Dallas","Texas","75226","United States","Commercial heating and cooling systems. 24/7 emergency service for retail and office properties across Dallas metroplex.","HVAC & Mechanical contractors","1711"
"Big D Facility Services","Vendor","(214) 555-0190","www.bigdfacility.com","3300 Stemmons Freeway","Dallas","Texas","75247","United States","Complete facility maintenance including janitorial, landscaping, and general repairs for commercial properties.","Facility Services, Maintenance & Cleaning","7349"
"Mile High Maintenance Co","Vendor","(303) 555-0200","www.milehighmaint.com","1500 17th Street, Suite 400","Denver","Colorado","80202","United States","Commercial building maintenance and repair services. Specializes in high-altitude climate challenges and energy efficiency.","Facility Services, Maintenance & Cleaning","7349"
"Rocky Mountain Security","Vendor","(303) 555-0210","www.rockymountainsec.com","2400 Curtis Street","Denver","Colorado","80205","United States","Commercial security systems, monitoring, and guard services for retail properties and shopping centers.","Security Services","7381"
"Peachtree Property Care","Vendor","(404) 555-0220","www.peachtreeprop.com","1000 Peachtree Street NE","Atlanta","Georgia","30309","United States","Comprehensive property management and maintenance services for commercial real estate in metro Atlanta.","Property Management","6531"
"Southern Comfort HVAC","Vendor","(404) 555-0230","www.southerncomforthvac.com","2500 Piedmont Road","Atlanta","Georgia","30324","United States","Commercial climate control systems with focus on energy efficiency and indoor air quality for retail environments.","HVAC & Mechanical contractors","1711"
"Bay Area Building Services","Vendor","(415) 555-0240","www.bayareabuilding.com","1200 Market Street, Suite 800","San Francisco","California","94102","United States","Premium commercial maintenance and facility management for high-end retail properties in San Francisco Bay Area.","Facility Services, Maintenance & Cleaning","7349"
"Golden State Security Solutions","Vendor","(415) 555-0250","www.goldenstatesec.com","500 California Street","San Francisco","California","94104","United States","Advanced security systems and monitoring for luxury retail locations. 24/7 response team and remote monitoring.","Security Services","7381"
"Pacific Coast Landscaping","Vendor","(858) 555-0260","www.pacificcoastland.com","7500 Metropolitan Drive","San Diego","California","92108","United States","Commercial landscaping and grounds maintenance for retail centers. Drought-resistant and sustainable design specialists.","Landscaping Services","0782"
"SoCal Climate Control","Vendor","(858) 555-0270","www.socalclimate.com","4200 Ruffin Road","San Diego","California","92123","United States","Commercial HVAC services for Southern California retail properties. Energy-efficient cooling solutions and maintenance.","HVAC & Mechanical contractors","1711"
"Capitol Region Services","Vendor","(301) 555-0280","www.capitolregion.com","8500 Georgia Avenue","Silver Spring","Maryland","20910","United States","Commercial facility services for the Washington DC metro area. Government-compliant security and maintenance standards.","Facility Services, Maintenance & Cleaning","7349"
"Chesapeake Bay Mechanical","Vendor","(301) 555-0290","www.chesapeakemech.com","1800 Rockville Pike","Rockville","Maryland","20852","United States","Commercial mechanical services including HVAC, plumbing, and electrical for retail and office properties.","HVAC & Mechanical contractors","1711"
"Desert Sun HVAC","Vendor","(480) 555-0300","www.desertsunhvac.com","15000 N Scottsdale Road","Scottsdale","Arizona","85254","United States","Commercial cooling and heating systems designed for extreme desert climates. Specializes in energy-efficient solutions.","HVAC & Mechanical contractors","1711"
