Name,Street,City,State,Zip Code,Country,Property Type,Total Square Footage,Year Built,Parking Spaces,Lessor
Downtown Austin Center,1500 Congress Avenue,Austin,TX,78701,US,Mixed Use,120000,2015,350,Austin Urban Realty Group
Highland Park Village,4200 Oak Lawn Avenue,Dallas,TX,75219,US,Retail,85000,2008,425,Metroplex Commercial Properties
The Domain Shopping Center,11410 Century Oaks Terrace,Austin,TX,78758,US,Retail,95000,2012,380,Austin Urban Realty Group
Cherry Creek North,2500 East First Avenue,Denver,CO,80206,US,Mixed Use,110000,2010,290,Denver Metro Properties
Buckhead Plaza,3400 Peachtree Road NE,Atlanta,GA,30326,US,Mixed Use,140000,2018,450,Atlanta Commercial Group
Coral Gables Town Center,4301 Ponce de Leon Boulevard,Coral Gables,FL,33146,US,Mixed Use,95000,2016,380,Miami Commercial Holdings
La Jolla Village Square,8657 Villa La Jolla Drive,La Jolla,CA,92037,US,Retail,75000,2012,320,Phoenix Commercial Realty
Bethesda Row,4800 Bethesda Avenue,Bethesda,MD,20814,US,Mixed Use,85000,2008,290,Charlotte Property Solutions
Scottsdale Fashion Square,7014 E Camelback Road,Scottsdale,AZ,85251,US,Retail,125000,2007,500,Scottsdale Business Properties
Greenwich Avenue Shopping,372 Greenwich Avenue,Greenwich,CT,06830,US,Retail,45000,2010,150,Charlotte Property Solutions
Pacific Heights Market,2001 Fillmore Street,San Francisco,CA,94115,US,Retail,38000,2014,120,Phoenix Commercial Realty
Beacon Hill Commons,1 Charles Street,Boston,MA,02114,US,Mixed Use,65000,2011,200,Charlotte Property Solutions
Shadyside Marketplace,5550 Walnut Street,Pittsburgh,PA,15232,US,Retail,52000,2009,180,Charlotte Property Solutions
Short Pump Town Center,11800 West Broad Street,Richmond,VA,23233,US,Retail,88000,2013,425,Charlotte Property Solutions
Hillcrest Village,6801 Hillcrest Avenue,Dallas,TX,75205,US,Retail,42000,2015,165,Metroplex Commercial Properties
Plaza Midwood Center,1524 Central Avenue,Charlotte,NC,28205,US,Mixed Use,48000,2017,190,Charlotte Property Solutions
Mountain Brook Village,2800 Cahaba Road,Mountain Brook,AL,35223,US,Retail,35000,2012,140,Atlanta Commercial Group
Saratoga Springs Commons,454 Broadway,Saratoga Springs,NY,12866,US,Mixed Use,58000,2014,230,Charlotte Property Solutions
Carmel-by-the-Sea Plaza,Ocean Avenue & Lincoln Street,Carmel,CA,93921,US,Retail,28000,2016,95,Phoenix Commercial Realty
Hamptons Market Center,2044 Montauk Highway,Bridgehampton,NY,11932,US,Retail,32000,2018,125,Charlotte Property Solutions
Bellevue Square District,575 Bellevue Square,Bellevue,WA,98004,US,Mixed Use,115000,2009,485,Denver Metro Properties
Avalon Alpharetta,2500 Avalon Boulevard,Alpharetta,GA,30009,US,Mixed Use,92000,2015,375,Atlanta Commercial Group
Legacy West Plano,7201 Bishop Road,Plano,TX,75024,US,Mixed Use,135000,2016,520,Metroplex Commercial Properties
The Woodlands Town Center,1201 Lake Woodlands Drive,The Woodlands,TX,77380,US,Mixed Use,125000,2013,495,Houston Commercial Holdings
